abbr,university,faculty,title,mode,link,duration,fees,start,deadline,description
MMedSc,HKU,LKS Faculty of Medicine,Master of Medical Sciences,Full-Time & Part-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-medical-sciences-med&mode=0,1 year,"Self-funded HK$173,000","September 1, 2025","Round 2 (for LOCAL applicants only): 12:00 noon (GMT +8), June 30, 2025 ___________________________________ Round 1 (for NON-LOCAL applicants): 12:00 noon (GMT +8), March 31, 2025",Full Time (one year)
MMDPath,HKU,LKS Faculty of Medicine,Master of Molecular and Diagnostic Pathology,Part-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-molecular-and-diagnostic-pathology-med&mode=0,,,,,
MNurs,HKU,LKS Faculty of Medicine,Master of Nursing,Full-Time & Part-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-nursing-med&mode=0,1 year,To be updated,To be updated,"Round 1: 12:00 noon (GMT +8), February 07, 2025 Round 2: 12:00 noon (GMT +8), March 28, 2025",Full Time (one year)
MPsyMed,HKU,LKS Faculty of Medicine,Master of Psychological Medicine (Psychosis Studies),Part-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-psychological-medicine-(psychosis-studies)-med&mode=0,,,,,
MPH,HKU,LKS Faculty of Medicine,Master of Public Health,Full-Time & Part-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-public-health-med&mode=0,1 year,"HK$220,200",2025 September,"Round 2 (Clearing) (for local applicants only): 12:00 noon (GMT +8), June 30, 2025 Round 1 (Main): 12:00 noon (GMT +8), April 30, 2025",Full Time (one year)
MRes[Med],HKU,LKS Faculty of Medicine,Master of Research in Medicine,Full-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-research-in-medicine-med&mode=0,1 year,HK$0,To be updated,To be updated,Full Time intercalated programme for one academic year during enrichment Year 3 of the HKU MBBS curriculum.
MSc(Nurs),HKU,LKS Faculty of Medicine,Master of Science in Nursing,Full-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-science-in-nursing-med&mode=0,3 years,To be updated,September 2026,"Priority round - 12:00 noon, December 31, 2025 Main round -- 12:00 noon, February 27, 2026 Extended round -- 12:00 noon, April 30, 2026: 12:00 noon (GMT +8), April 30, 2026",Full Time (three years)
PDipID,HKU,LKS Faculty of Medicine,Postgraduate Diploma in Infectious Diseases,Part-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=postgraduate-diploma-in-infectious-diseases-med&mode=0,,,,,
PDipPsyMed,HKU,LKS Faculty of Medicine,Postgraduate Diploma in Psychological Medicine (Psychosis Studies),Part-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=postgraduate-diploma-in-psychological-medicine-(psychosis-studies)-med&mode=0,,,,,
MDASC,HKU,School of Computing and Data Science,Master of Data Science,Full-Time & Part-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-data-science-cds&mode=0,1.5 years,"HK$324,000",September 2025,"Round 1 (Main): 12:00 noon (GMT +8), November 18, 2024 Round 2 (Clearing): 12:00 noon (GMT +8), January 13, 2025","Full Time (one and a half years, including daytime, evenings and weekends)"
MSc(CompSc),HKU,School of Computing and Data Science,Master of Science in Computer Science,Full-Time & Part-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-science-in-computer-science-general-stream-cds&mode=0,1 year,"Self-funded Local: HK$210,800 Non-local: HK$320,000 *A ‘non-local’ student is a person entering Hong Kong for the purpose of education with a student visa/entry permit issued by the Director of Immigration.",2025 September,"Round 1 (Main): 12:00 AM (GMT +8), January 03, 2025 Round 2 (Clearing): 12:00 noon (GMT +8), April 11, 2025",Most classes will be held on weekday evenings or during weekends. Some classes will be held on weekday daytime.
MSc(ECom&IComp),HKU,School of Computing and Data Science,Master of Science in Electronic Commerce and Internet Computing,Full-Time & Part-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-science-in-electronic-commerce-and-internet-computing-cds&mode=0,1 year,"Self-funded Local: HK$210,800 Non-local: HK$320,000 *A ‘non-local’ student is a person entering Hong Kong for the purpose of education with a student visa/entry permit issued by the Director of Immigration.",2025 September,"Round 1 (Main): 12:00 AM (GMT +8), January 03, 2025 Round 2 (Clearing): 12:00 noon (GMT +8), April 11, 2025",Most classes will be held on weekday evenings or during weekends. Some classes will be held on weekday daytime.
MSc(FTDA),HKU,School of Computing and Data Science,Master of Science in Financial Technology and Data Analytics,Part-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-science-in-financial-technology-and-data-analytics-cds&mode=0,,,,,
MStat,HKU,School of Computing and Data Science,Master of Statistics,Full-Time & Part-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-statistics-cds&mode=0,1 year,"HK$228,000",September 2025,"Round 1 (Main): 12:00 noon (GMT +8), November 18, 2024 Round 2 (Clearing): 12:00 noon (GMT +8), January 13, 2025","Full Time (one year, including daytime, evenings and Saturdays)"
